id,text_de,author,category,difficulty,explanation_short,provenance
antiduehring_001,Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,(unknown),"Dialektik,Methode",intermediate,Kurz erklaert: Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,generated
antiduehring_002,Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,(unknown),"Natur,Gesellschaft",advanced,Kurz erklaert: Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,generated
antiduehring_003,Wissenschaftliche Analyse ersetzt blossen Moralappell.,(unknown),"Sozialismus,Theorie",beginner,Kurz erklaert: Wissenschaftliche Analyse ersetzt blossen Moralappell.,generated
antiduehring_004,"Dialektik hilft, Widersprueche in Bewegung zu sehen.",(unknown),"Kritik,System",intermediate,"Kurz erklaert: Dialektik hilft, Widersprueche in Bewegung zu sehen.",generated
antiduehring_005,Die Theorie muss sich an der Praxis bewahren.,(unknown),"Wissenschaft,Praxis",advanced,Kurz erklaert: Die Theorie muss sich an der Praxis bewahren.,generated
antiduehring_006,Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,(unknown),"Dialektik,Methode",beginner,Kurz erklaert: Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,generated
antiduehring_007,Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,(unknown),"Natur,Gesellschaft",intermediate,Kurz erklaert: Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,generated
antiduehring_008,Wissenschaftliche Analyse ersetzt blossen Moralappell.,(unknown),"Sozialismus,Theorie",advanced,Kurz erklaert: Wissenschaftliche Analyse ersetzt blossen Moralappell.,generated
antiduehring_009,"Dialektik hilft, Widersprueche in Bewegung zu sehen.",(unknown),"Kritik,System",beginner,"Kurz erklaert: Dialektik hilft, Widersprueche in Bewegung zu sehen.",generated
antiduehring_010,Die Theorie muss sich an der Praxis bewahren.,(unknown),"Wissenschaft,Praxis",intermediate,Kurz erklaert: Die Theorie muss sich an der Praxis bewahren.,generated
antiduehring_011,Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,(unknown),"Dialektik,Methode",advanced,Kurz erklaert: Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,generated
